FoodName,FoodID,Energy (kcal),Protein,Protein from Amino Acids,Carbohydrates,Dietary fibre,Fat,Alcohol,Salt,Vitamin A,beta-Carotene,Vitamin D,Vitamin D3,Vitamin E,Vitamin K,Thiamin (Vitamin B1),Riboflavin (Vitamin B2),Niacin equivalent,Niacin,Vitamin B6,Pantothenic acid,Biotin,Folate,"Folate, free",Vitamin B12,Vitamin C,Ascorbic acid,Sodium,Potassium,Calcium,Magnesium,Iron,Copper,Zinc,Sum sugars,Starch/Glycogen,Sum saturated fatty acids,Sum monounsaturated fatty acids,Sum polyunsaturated fatty acids,Sum trans fatty acids,Sum n-3 fatty acids,Sum n-6 fatty acids,Cholesterol,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine,Arginine,Histidine,Glycine,Proline
"Strawberry, raw",1,38,0.7,0.5,6.9,1.5,0.6,0.0,0.0,6.67,40.00,0.00,0.00,0.41,20.00,0.01,0.01,0.57,0.43,0.05,0.13,0.7,117.0,15.0,0.0,66.9,64.8,1,179,19,12,0.25,0.04,0.10,6.1,0,0.050,0.083,0.348,0.000,0.166,0.182,0.0,24.3,39.1,34.8,10.1,3.7,22.2,10.6,22.2,8.2,28.5,40.1,11.6,25.3,23.2
"Apple, raw, all varieties",2,55,0.3,0.2,12.1,2.2,0.2,0.0,0.0,4.17,25.00,0.00,0.00,0.25,3.00,0.01,0.01,0.17,0.12,0.05,0.07,1.0,9.0,3.0,0.0,8.3,7.8,1,118,4,4,0.12,0.03,0.02,10.9,0,0.045,0.007,0.131,0.000,0.028,0.103,0.0,8.6,13.8,12.9,2.6,0.9,6.9,4.3,7.8,2.6,10.3,6.0,4.3,7.8,8.2
"Banana, raw",3,93,1.1,0.7,21.0,1.6,0.2,0.0,0.0,8.83,53.00,0.00,0.00,0.27,0.50,0.04,0.01,0.77,0.60,0.31,0.26,1.6,38.0,12.0,0.0,11.2,8.1,0,348,7,28,0.25,0.11,0.17,15.4,4.325,0.082,0.043,0.025,0.000,0.000,0.025,0.0,34.7,89.4,51.1,10.2,3.1,34.7,20.1,32.9,10.2,52.9,49.3,84.0,36.5,38.3
"Potato, raw",4,77,2.0,1.5,15.9,1.4,0.3,0.0,0.0,1.67,10.00,0.00,0.00,0.10,16.00,0.06,0.06,2.11,1.60,0.20,0.38,0.5,36.0,10.0,0.0,26.4,23.4,7,414,7,20,1.04,0.05,0.30,1.2,16.65,0.056,0.014,0.162,0.000,0.093,0.070,0.0,74.6,110.3,116.7,27.6,16.5,81.1,38.9,68.1,30.8,120.0,84.3,35.7,58.4,71.3
"Milk, whole, konventional (not organic), 3.5 % fat",6,63,3.4,3.1,4.4,0.0,3.5,0.0,0.1,33.07,16.00,0.04,0.01,0.06,1.26,0.04,0.17,0.86,0.09,0.05,0.36,1.6,11.0,4.0,0.4,1.2,1.2,44,144,116,11,0.02,0.01,0.41,4.6,0,2.240,0.782,0.073,0.131,0.014,0.048,14.0,198.4,327.2,305.7,85.8,26.3,171.6,144.8,144.8,46.1,236.0,118.0,96.5,69.7,332.5
"Parsley, raw",8,48,3.7,2.7,3.7,4.1,1.2,0.0,0.2,948.33,5690.00,0.00,0.00,2.70,790.00,0.12,0.30,2.64,1.70,0.20,0.30,0.4,116.0,41.0,0.0,308.0,308.0,64,641,185,29,3.60,0.09,0.46,0.8,0.43,0.162,0.027,0.731,0.000,0.457,0.274,0.0,148.5,255.4,225.7,52.3,17.8,178.2,101.0,154.4,56.4,213.8,154.4,77.2,178.2,267.3
"Pear, raw",9,49,0.3,0.2,11.1,3.2,0.1,0.0,0.0,10.83,65.00,0.00,0.00,0.58,,0.01,0.01,0.28,0.23,0.01,0.05,0.4,16.0,4.0,0.0,6.1,5.3,1,122,10,6,0.10,0.07,0.11,8.3,0,0.012,0.008,0.033,0.000,0.008,0.025,0.0,12.3,20.1,20.1,3.1,1.5,12.3,4.6,10.8,3.1,15.2,9.3,6.4,12.3,27.5
"Rhubarb, raw",10,26,0.9,0.4,3.0,3.8,0.3,0.0,0.0,19.67,118.00,0.00,0.00,0.35,,0.03,0.03,0.43,0.25,0.04,0.09,,7.0,9.0,0.0,13.0,13.0,3,280,115,12,0.30,0.06,0.23,1.6,0.22,0.064,0.016,0.160,0.000,0.039,0.121,0.0,27.4,38.9,40.3,10.8,1.2,25.9,17.3,21.6,10.8,41.8,33.1,18.7,27.4,24.5
"Currant, black, raw",11,75,1.5,,11.4,5.8,1.3,0.0,0.0,21.67,130.00,0.00,0.00,2.10,,0.03,0.03,0.52,0.30,0.08,0.40,2.4,8.2,15.0,0.0,181.0,181.0,3,337,59,22,0.80,0.10,0.29,9.8,0,0.244,0.083,0.733,0.000,0.244,0.489,0.0,,,,,,,,,13.4,,,,,
"Yogurt plain, whole milk",12,62,3.8,3.4,2.8,0.0,3.6,0.0,0.1,31.24,16.00,0.10,0.10,0.02,1.01,0.04,0.17,0.96,0.10,0.04,0.28,1.8,21.0,,0.2,0.2,0.2,46,146,132,12,0.05,0.01,0.49,3.6,0,2.311,0.963,0.102,,0.027,0.074,15.0,201.9,362.2,338.5,95.0,24.9,166.3,172.2,160.3,51.7,255.3,130.6,100.9,77.2,356.3
"Celery, raw",13,23,0.7,0.5,3.9,1.6,0.2,0.0,0.2,2.83,17.00,0.00,0.00,0.20,,0.04,0.08,0.59,0.45,0.09,0.40,0.1,28.0,6.0,0.0,9.0,9.0,62,318,57,8,0.40,0.11,0.10,1.8,0.1,0.036,0.027,0.069,0.000,0.000,0.069,0.0,28.7,51.4,15.5,13.1,3.6,33.5,9.6,25.1,8.4,35.8,29.9,10.8,22.7,19.1
"Cauliflower, all varieties, raw",14,28,2.4,1.6,2.5,2.2,0.4,0.0,0.0,6.67,40.00,0.00,0.00,0.20,16.00,0.06,0.07,1.06,0.60,0.15,0.60,1.5,165.2,32.0,0.0,76.8,68.1,17,286,24,13,0.40,0.04,0.26,1.9,0.01,0.076,0.026,0.217,0.000,0.187,0.030,0.0,85.5,128.3,116.7,29.9,14.4,81.7,50.6,81.7,27.6,140.0,93.3,42.8,85.5,105.0
"Broccoli, raw",17,35,3.6,,3.1,3.2,0.2,0.0,0.0,88.83,533.00,0.00,0.00,1.45,260.00,0.09,0.11,1.23,0.57,0.22,0.69,7.4,239.0,,0.0,116.7,111.5,12,389,44,21,0.70,0.05,0.42,2.1,0,0.039,0.011,0.017,0.000,,,0.0,136.5,187.7,182.0,51.2,39.8,130.8,,153.6,39.8,170.6,221.8,79.6,,
"Beans, wax, raw",20,35,2.1,1.5,5.3,1.8,0.2,0.0,0.0,9.17,55.00,0.00,0.00,0.45,,0.08,0.13,1.05,0.60,0.10,0.05,0.7,100.0,8.0,0.0,21.0,21.0,6,209,45,27,1.10,0.07,0.40,2.5,1,0.030,0.000,0.050,0.000,0.030,0.020,0.0,80.6,117.6,110.9,28.2,7.4,57.1,47.0,90.7,26.9,104.2,77.3,32.9,63.8,60.5
"Lemon, raw",21,44,0.5,0.3,3.9,1.2,1.1,0.0,0.0,3.33,20.00,0.00,0.00,0.80,,0.05,0.03,0.24,0.20,0.06,0.23,0.5,32.0,7.0,0.0,49.0,49.0,3,175,35,9,0.08,0.05,0.13,3.1,0,0.243,0.070,0.567,0.000,0.166,0.401,0.0,13.6,12.4,24.8,6.9,6.2,17.6,10.0,6.9,2.5,18.0,30.0,6.9,48.0,26.4
"Dill, raw",22,48,3.5,,4.9,2.1,1.1,0.0,0.1,997.06,5982.35,0.00,0.00,1.70,,0.19,0.43,3.51,2.40,0.30,0.30,0.4,116.0,41.0,0.0,70.0,70.0,27,647,202,28,5.50,0.22,1.80,4.9,0,0.056,0.751,0.089,0.000,0.012,0.077,0.0,,,,,,,,,66.5,,,,,
"Kale, raw",23,60,4.7,3.1,4.7,6.2,1.2,0.0,0.1,841.67,5050.00,0.00,0.00,5.40,,0.15,0.29,3.98,2.80,0.35,1.00,36.0,60.0,44.0,0.0,169.0,169.0,35,264,219,20,2.00,0.09,0.62,1.9,0.08,0.148,0.033,0.739,0.000,0.543,0.197,0.0,178.8,298.0,253.3,54.4,22.3,201.1,111.7,178.8,70.8,253.3,216.0,89.4,201.1,268.2
"Carrot, raw",24,36,0.7,0.4,6.0,2.9,0.4,0.0,0.2,1631.67,9790.00,0.00,0.00,0.55,13.20,0.04,0.03,1.10,1.00,0.12,0.28,3.4,63.0,15.0,0.0,7.0,5.0,66,286,25,10,0.24,0.04,0.19,6.2,0,0.079,0.006,0.235,0.000,0.029,0.206,0.0,19.8,26.4,24.2,5.9,0.9,17.6,9.3,17.6,5.9,29.7,22.0,8.5,18.7,16.5
"Garfish, raw",25,107,19.5,16.2,0.0,0.0,3.2,0.0,0.2,3.10,0.00,5.16,5.16,0.76,0.00,0.00,0.10,10.81,7.10,0.41,0.48,4.2,1.0,1.0,7.7,0.4,0.4,62,301,79,23,0.61,0.06,2.72,0.0,0,0.640,0.876,1.044,,0.929,0.115,85.0,967.3,1450.9,1773.3,580.4,164.4,773.8,709.3,870.5,222.5,1096.2,1257.4,677.1,1096.2,709.3
"Cabbage, white, raw",26,32,1.2,0.8,5.1,2.3,0.2,0.0,0.0,5.83,35.00,0.00,0.00,0.02,76.00,0.05,0.04,0.55,0.40,0.16,0.21,1.2,77.0,,0.0,45.8,45.8,6,240,51,11,0.31,0.02,0.15,4.4,0.03,0.041,0.004,0.115,0.000,0.084,0.031,0.0,27.4,35.3,35.3,9.0,5.1,21.6,12.2,23.5,9.0,45.1,66.6,21.6,27.4,56.8
"Rose hip, raw",27,79,0.6,,15.0,6.1,0.5,0.0,0.1,1900.00,11400.00,0.00,0.00,,,0.06,0.07,0.54,0.50,0.05,,,,,0.0,840.0,840.0,24,410,184,28,0.20,0.18,0.92,14.0,0.1,0.040,0.100,0.280,0.000,0.110,0.170,0.0,,,,,,,,,2.5,,,,,
"Elderberry, raw",28,67,0.7,0.6,11.6,6.8,0.5,0.0,0.0,54.22,325.33,0.00,0.00,1.00,,0.07,0.06,1.97,1.70,0.18,0.14,1.8,12.0,17.0,0.0,29.0,29.0,8,321,47,32,0.90,0.06,0.21,6.5,0,0.033,0.029,0.288,0.000,0.131,0.157,0.0,27.6,60.4,26.5,13.8,14.8,40.3,50.9,27.6,15.9,32.9,47.7,14.8,36.0,25.4
"Salmon, Atlantic, wild, raw",30,159,18.4,15.6,4.5,0.0,7.5,0.0,0.1,15.00,0.00,30.00,30.00,1.30,0.00,0.23,0.10,9.24,6.00,0.98,2.00,5.0,26.0,4.0,6.2,1.0,1.0,57,330,20,24,0.80,0.17,1.04,0.0,0,1.409,2.110,1.926,,1.675,0.251,70.0,912.6,1442.6,1648.6,559.4,117.8,736.0,618.2,824.3,194.3,1059.8,2060.8,412.2,883.2,647.7
"Sweetcorn, on-the-cob, raw",31,91,3.7,3.2,13.5,2.8,1.8,0.0,0.0,7.83,47.00,0.00,0.00,0.80,0.30,0.15,0.08,2.19,1.80,0.16,0.54,0.5,33.0,27.0,0.0,6.8,6.8,3,306,4,39,0.60,0.24,1.40,1.7,22,0.284,0.516,0.892,0.000,0.030,0.862,0.0,136.2,467.7,100.6,71.0,59.2,189.4,142.1,136.2,23.7,177.6,153.9,100.6,136.2,331.5
